product_id,name,brand,category,price,unit_price,unit_price_qt,currency,timestamp,is_offer
67707,"Proteinmelk sjokolade Uten tilsatt sukker, 400 g",Müller,Melk,29.9,74.75,kilogram,NOK,2026-03-03T12:54:59.022Z,false
51400,"Knoll Småpoteter Norge, 650 g",Knoll,Grønnsaker,28.43,43.74,kilogram,NOK,2026-03-03T13:10:30.956Z,true
32349,"Liten Kålrot Vår Laveste Pris, Norge, 500 g",Huseby Gaard,Grønnsaker,15,30,kilogram,NOK,2026-03-03T13:10:31.405Z,false
27256,"Brokkoli Vår Laveste Pris. Nederland/ Spania, 1 stk",,Salat og kål,21.9,21.9,stykk,NOK,2026-03-03T13:10:31.406Z,false
29829,"Gul Squash Nederland/ Spania, 250 g",,Grønnsaker,39.9,159.6,kilogram,NOK,2026-03-03T13:10:31.407Z,false
9443,"Fersk Rosenkål Nederland, 400 g",,Salat og kål,26.9,87.25,kilogram,NOK,2026-03-03T13:10:31.408Z,false
9281,"Agurk Norge, 1 stk",,Grønnsaker,33.9,33.9,stykk,NOK,2026-03-03T13:10:31.409Z,true
9452,"Avokado modnet Maks 3 til nedsatt pris, Chile / Colombia/ Marokko, 2 stk",,Grønnsaker,29,14.5,stykk,NOK,2026-03-03T13:10:31.410Z,true
51401,"Knoll Langpanne Poteter Norge, 1 kg",,Grønnsaker,34.9,34.9,kilogram,NOK,2026-03-03T13:10:31.411Z,true
9221,"Rødløk Strømpe 2 stk Norge, 375 g",,Grønnsaker,23.9,63.73,kilogram,NOK,2026-03-03T13:10:31.412Z,false
138,"Sukkererter Flate, Peru/ Egypt, 150 g",,Grønnsaker,39.9,266,kilogram,NOK,2026-03-03T13:10:31.413Z,true
27770,"Gul Paprika Nederland / Spania, 2 stk",,Grønnsaker,44,104.76,kilogram,NOK,2026-03-03T13:10:31.414Z,false
23926,"Økologisk Squash Spania/ Nederland, 1 stk",,Økologisk frukt og grønt,32.2,128.8,kilogram,NOK,2026-03-03T13:10:31.415Z,false
33504,"Sousvidekokte Maiskolber Som Er Delt India, 6 stk",,Grønnsaker,29.9,4.98,stykk,NOK,2026-03-03T13:10:31.416Z,false
26941,"Liten Agurk Vår laveste pris Klasse 2, Norge, 1 stk",,Grønnsaker,27.9,27.9,stykk,NOK,2026-03-03T13:10:31.416Z,false
26694,"Ekstra søte piccolo cherry klasetomater Norge, 200 g",Wiig Gartneri,Grønnsaker,63.4,317,kilogram,NOK,2026-03-03T13:10:31.417Z,false
9215,"Gul Løk Norge, 2 stk",,Grønnsaker,13.3,37.6,kilogram,NOK,2026-03-03T13:10:31.418Z,false
26976,"Økologiske Gulrøtter Norge, 750 g",,Økologisk frukt og grønt,57.8,59.87,kilogram,NOK,2026-03-03T13:10:31.418Z,false
9287,"Squash Grønn Spania, 1 stk",,Grønnsaker,32.7,92.11,kilogram,NOK,2026-03-03T13:10:31.419Z,false
23548,"Ekstra Stor Avokado moden Colombia/ Marokko / Chile, 1 stk",,Grønnsaker,44.4,134.55,kilogram,NOK,2026-03-03T13:10:31.420Z,true
9323,"Runde Sukkererter/ Sugarsnap Kenya / Egypt, 200 g",,Grønnsaker,39.9,211.5,kilogram,NOK,2026-03-03T13:10:31.421Z,false
27768,"Grønn Paprika Nederland / Spania, 2 stk",,Grønnsaker,44,114.76,kilogram,NOK,2026-03-03T13:10:31.421Z,false
9275,"Maiskolber Sousvidekokte, India/Thailand, 2 stk",,Grønnsaker,24.9,12.45,stykk,NOK,2026-03-03T13:10:31.422Z,false
27853,"Gulrøtter vasket Norge, 1 kg",,Grønnsaker,48.7,48.7,kilogram,NOK,2026-03-03T13:10:31.423Z,false
